  PID  PPID  %CPU    RSS COMM
  769     1   0.0   3376 /System/Library/PrivateFrameworks/login.framework/Versions/A/XPCServices/LoginUserService.xpc/Contents/MacOS/LoginUserService
  770     1   0.0  21600 /usr/libexec/kernelmanager_helper
  771     1   0.0   4048 /System/Library/Frameworks/FamilyControls.framework/Versions/A/FamilyControlsAgent
  772     1   0.0   2528 /usr/libexec/tailspind
  773     1   0.0  12784 /usr/libexec/ospredictiond
  775     1   0.0   9680 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  776     1   0.0   3248 /usr/libexec/rosetta/oahd
  778     1   0.0  25696 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  779     1   0.0  23232 /usr/libexec/appleaccountd
  780     1   0.0  17344 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
  781     1   0.0 164256 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  785     1   0.0  57888 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  786     1   0.0  48288 /usr/libexec/wifianalyticsd
  787     1   0.0  48912 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  788     1   0.0   3552 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
